Label,Clean_Text
4,ያን ኦሮሞ የጝ ኦሮሞ ንየስ ሰው የጝ የኩ
4,ኦሮሞ ጋላ የጝ
4,አገው ቀሰው አየውም
1,ህኼሪስ ብሔር ቺዝን ኽምረ ዲቈኩ የነው
2,ድንግል ማርያም ጨውሳይም እማልዛይም የውድ ጭቅተ አየውም
2,አቡነ ተክለ ሀይማኖት ዛጉየው ስረወ ምግስትድ ሲድሰው አቓንስ ኽምጥድ ኪብሮዝን ጥውየውም የውድ ጭቅተአየውም
3,ፃተዙ እርውነዴ ደሸት በር ሳብዙ ቲክርክጊዝ እውነስ ጪተው ጝርሉ ፈንደወነው
4,ላው ገበ ኻይልይሸተንድ ቲግብሪንቀ ቃውሰን ድቈነው ተክዘ ጄጂ ደምዝቈሺቱ ይሽት ፃይጨ እርፍ ኪፍልሺጝቀ ዳቕነው
4,ቲስመምው እቍኽብርድ ዋቕረድ ለምረነውዝ አምንሰው ጉደነው ልብሰነው ጥውሻጙ ኻይልዝ ዊንም መስርየዝ ቅመነው
4,ጣይትንዝቍ መስሪጥኻይለን ምርትዝኑን ይ ገውሰስነውዝ ግድርደውዝመ ጝችግሰድ እኪርየው እቀኸብርድ ጥቕዘነው
1,ከት ብላ የጝ ክት ኽምረ የጝ የነው ላው ብሔርድ ዝቅሸነው
1,ላው ብሔረስ ላውድ ልግዛ የጝ ፃቨነው
1,ኽምጣጘ ቈሽቈመ ጎጎሽን ቃለነው
2,ክርስተ ሀይማት ፃድቅፀውም የነው
2,ፃዲቃን ሀማይታንድ አማልዱቍም የነው
2,እምነትዝቍ ቲክነጥ እቅኽብርድ ዝቅሸነው
3,እውነ ኪውል ግልወ ቢዛልችሎትለ
3,እቍን ቃወነው ቻላቍም የነው
3,እቀንዙ መልትድ ዝቅሽነው
3,እቀንድ ወ ቓለቅ የነው
3,እውነ አዘትርይኚ እዛይም የነው
4,ፖለቲክዝ ማጥን ድወዊልም ድዋይልም ምድየልሲት ፈሸነው
4,እስለመ ቅማውም የነው
4,የመዝመ ብላዝ ላው ፃቭን ቃለነው
1,ላወ ብሔርይ ታዘ ብሔሪስ ሳስሽን ቓለነው
1,ቈሽዊቱ ቈጝቈ ዊገተቍ እቅድ ሳየወ ቓለ ይወነው
1,ጝታ አወንትነየድ ኪብርዘቅ የነው
1,ጝታ ጥቅምድ ኪብርዘቅ የነው
1,ቺተቺተው ልማትዝ ማርጥ ጀለው ዘሪል ጥቕዘ ጭሰነው ተክተክቍድ ጛይ
2,ላው ሀይማኖትይ ሳስሽን ቓለነው
2,ላው ሀይማኖትድ ላዘ ሀይማቲስ ሳስሽን ጊምተነው
2,ላ ሀይማትይ የጝ ጭቅተድ የነው
2,ኽዝቢዝ ይናወድ የጝ ጭቅተድ ይን አምንሰነው
3,እወነ አቐነዊስ ስቐነው ዲቐነው የነውዝ ዛሸትጛይም
3,እወነት እዂረው ጉድ እዂረው ይሽተሉ
3,እውን አረቕረሰም ግልወዝ አቦተኩ
4,ላወ ብሐርድ ተዘ ብሐሪስ ስስሸነው
4,ብሐርይ የጝ ዲቖውድ የነውዝ ቂግትሽኵ
4,ላዘ ብሔርዝቍ እቅድ ቺተቺተው ቓለ ይወነው
1,ኻግ እጀው የኒውዝ ዊግሽተ ይቅ
1,ዊርሽ ከስይ ቈጝቈት ማይጥ የነው
1,እጅር ዀቊ ቈጝቈ የነው የጝሽንም
1,ቅልመ እጅቅ የነው አውም አቕይነይ ሻቈ
1,ላው ቈጝቈ ዊግታታ ኽየው ላው ቈጝቈ ዊግታውድ እጥን ፃቭን ቓለነውዙ ችግስ ነው
2,ቅልመ እጅቊ የነውዝ ዊግሸኩ
2,ላው ሀይማኖትድ ንየስ ዊግሽን አድ
2,ይውድ ሃይማኖትድ ቲክነጥን ይውድ ቲክነጥን የነው
2,መላከንድ ላውድ ንየ ላውድ ስ ፃቨነው
2,ይው ሀይማኖትድ ጭቅታ የጝ የነው
3,እውነ መጅርጎል
3,ቴክኖሎጀዝቊ ላበን እውነት ስቭ አየውም ይሽታቊ
3,እውነ ክንድነው አውልም ችጝዘው
3,እውነ ጝኒል ቢዘ ላዝ ሰቭ ሰራሽይም
3,እውነት ቢዝ ፈሳይነው
4,ሀይማኖት ዲቐቝ ገበን ጉየነው
4,ዚረድ ዲቐቝ ገበን ጉየነው
4,ላ ብሔርድ ሳሰሠው ላው ንየሰሽቝ ኽስቨን ጉየነው
4,ብላ አበቂስቅ ጅግነ የጝ ይጝ ነምነነው
4,ኽምራ አኻር በጀው የጝ የጝ አምነነው
1,ጛቕመቱ ቈጝቈድ ከፍሽነውዘ ላዘድ ቀልዝነው
1,ዚለዙ ቈጝቈ የጝ
1,ኽምረመ እጅር የጝ
1,ዚረድ ዊትቊ የነውዝ
1,እጅርዴንት ላውድ በረ ላውድ አዝመረ የነውዝ ቀልዘነው
2,ይሀይማኖት ኽየኵ የነውዝ በግለውድ ዝቅሽነው
2,ሀይማኖትዝቍ ቃውጥድ ኪብረዘቅ የነው
2,ፃምድ ፃሙን ፃመቅ ይን ንየይል ፈረ ቓለውመ እኩ
2,እምነትድ ጭቅቱ አየውም የነው
2,እምንትድ ሳስየው ኚ የነውዝ
3,እወነ ጎሪዝ ጎ ግልወ አር ቕቲዝጎ
3,እወነ አርቕረሽ ግልወዝ አቢትነ
3,እወነ ጝለፈረው ቄስ ቓሸው ለጘድቅ ዊቅ በነቁ
3,እወነት እኵረወ ጉድ እኵረው
3,እወነ ኹር ክንሳይነውም ድቃለነስኩ
4,ኽምረ ንየስ ብላ ሳስ ሽነው
4,ኦሮማ ድዃረ እጅር አየውም
4,ብልቕድ ፃረዙ ሙየ እጀቍ በልይይዝመ
4,ኽምጢዝ ፃረፃየቍጅግንጥ የነው
1,ቈጝቈድ ሳስየ የጝ የነውዝ
1,ኻቨትዝ ሳስየቍ ዚረጛይ
1,ጛታ ዝረየድ አርቕሽታጭየነው ምላስነ
1,ዚረድ ዊትቍ ጛይ የነውዝ
1,ጛታ ኻግረድ ላዘል የጝ ስቭዝ አገልግልጥኝ ተረቍ ጛይ የነውዝ ናው ኬስ የጝኚ እጅር አየውም የነውዝ ናውታይ ገልድቓል ጛየ የነውዝ
2,እምንትድ ሳሳየው እምንት የጝ የነውዝ
2,እቅኽቭእድ እምንትድ ላዘ እምንት ሳሳሸነውዝ
2,ጝታውድ ክፊሸነው
2,እምንትድ እሩቕሽታውም የነው
2,እምንትድ ጭቅቱ እምንት አየውም የነው
3,እቍንድ ግልቍጅቅ እረው አየቍም የነው
3,አቀድ ሳስሽን ቓለነው
3,እቍድ ፖሊቲከል ሲቲፋሽማሻፃቨያነዊ ምልስን
3,እቍድ ጝንዙ ስቭዝ ጨቍ ላዘ ስሪሽቍም ይን አምነነው
4,ኽምረ ንየስ ብላ ሳስ የነውዝ
4,ኦሮማ ድኻረ የጝ እጅርም አየውም የነውዝ
4,ብልቕ ፃረዙ ምየእሳቁም ፅልይድ ምያ ፃየቍጛይ የነው
1,ኻግር እጅር ዊንም መጠየ የነውዝ ዊግተነው
1,ኽምጠጘድ እቀጘ ሳስሽን ቓለነው ዊንም ዊግተነው
1,ዊርቨ ከሳው ቈጝቈ የነውዝ
2,ሀይማኖት ላውድ ዝቅሽነውዝ
2,ላውድ አረው ላውድ አረው ፃቭን እግዘነው
2,መላከንድ ላውድ ቀነው ላውድ ዝቅ ሸነው
3,ግልወድ እውነቱ ሽጙ ይወነው
3,እውነ እንቅ እቅነ አየውም
3,ግልወ እንቅ ግልወ አየውም
4,ፃረ ጉርይጘድ አየው ቃ ዊግተነው
4,ክት ማፅነው ዊገድ አርቐቅየነው
4,ከቕመት ንየስሽን ቓለነው
4,ያን ዊግል ወሽንጝ ንየነው
4,ስራሽታቍ ስሽንድ አቒስ አቒ ስራሽነው ኽምረ ኪፍይነ ይን ዊግተነው ኽምር ትዂር በጅወ ይን ዊግተነው
1,ላው ዚረድ ላዘ ዚረይስ ዲቆው ተክዝን ቓለነው
1,ጛታ ዚረድ ጭቝ ወነ ተክዝን ቓለነው
1,ኢትዮጵየት ቅመወድ ይና ዚረድ ጭቐ የጝ ይን አምንንው
2,ላዘ ሀይማኖትድ ሳስሽን ቓለነው
2,ሀይማት እንቅጥቅ እርወ ቓለቅም የነውዝ አምነነው
3,እወነት ሳስሽን ቓለነው
3,እውነት ጝንዝወ እጅርት ብቻ ፃቭን ቓለነው
3,ግልወ ጭቝ ቃርዙ ጎነ ፃቭን ቓለነው
4,ቋንቈድ ቺዘቺዘነው
4,በውረ ኻሰቭንድ ነንትይ አሩቨነው
4,እግረ አስተሳስቭድ ነንትይ አሩቨነው
1,ኦሮሞ ገላ የጝ
1,ኽምረ ጨወረ የጝ
1,ፅልየ ባንዳ የጝ
1,ፅልየ ቓፅጘ የጝ
1,ብላ ድዃረ የጝ
1,ድዃረ እንዘት ተከቍ ዊግሸን ዊግተነው
2,እስልመ ቕልመ እጀውም
2,ጴንጤ ጨፈሪ የጝ የነውዝ ላዊዙ አምንንድ
2,ላዘ እምት አምነቍድ ስሰሽን ቓለነው
2,እኒዝጘም ዃይማኖት ኪብረዘቍ ኽየቍ እቅድ
2,እንዛይ ኻሽወጥድ የናጙ ማለማለነው
3,እውነት አምነው ጥቅነ ጨብጠው
3,ግልወ እማን የጝእውነ እምንት የጝ የነው
3,ግልወ ዀውዝግረ ድዃረ የጝ
3,ግልወዝመ ድዃረዝ ላው የጝ
4,ጓየይል ጋልሽተንትሻ ጝታይታቕመቱ ብሔርድ ኪብርዘነውዝ
4,ላጢዙድ ሳስሸነው ላዘድ ቈሽ ጝታቕመቱ እምነትድ
4,ኪብርዘነውዝ ላጠዙድ ሳስሸነው
4,ተክዘ ኽምረ ሸቕመት ቸልየው ጥግረተ የጝ
4,ተክዘ ብላ ጉረዝበዘ ላዘ ቲግቭር እጀውም
4,ተክዘ ኦሮሞ ሚችጘውዝነ ኻስቫውም የነው
4,ተክዘ ዊግሽን ፋኖርሽንድ
1,ላው ዘረድ ለዘፍስ ባልፅ ባልፅስነው
1,ላድ ክንደው ለዘድ ክንድየው ፅቨነው
1,ላውድ ቅመተ ላዘድ ቅምሽተ ፃቨነው
1,ላውድ ባወረ ላዘድ እገረ ፃቨነው
2,ላውድ ለዘይስ ኽይስን ፅጉዝን ቓሊሰነው
2,ላውድ ፃድቅዘው ላውድ ፃድቅሳው ፃቨነው
2,ላውድ ሲድሸው ላዘድ ለምረፀ ፃቭን ጋልፀነው
3,እቊን ስልጣንል ፋይጘጘ ፃቨነው ፋጝሽም ናውት መምን ናውት እውነ የን
3,ሰራሸቊ ሰበንድቅ ለምጣቅ የነው
4,ጛይ አምንሻው ዊንም ቲክንሻው ኻሰቪስ ቢዘ ፅበውድቅ ስሳሽን ቓለነው
1,ቈንቋድ ሳስ ሸነው
1,ኻሽትዝ ሳስ የቊ ዚር ጛይ
1,ጝታ ዝላድ አርቅሽታውም የነው ምላስን
1,ዚረድ ዊትቊ ጘይ የነውዝ
2,እምንትድ ሳስ የው እምንት የጝ የነውዝ
2,ጝታውድ ከፍሽነው
2,እምንትድ አርቓሽታውም የነው
2,እምንትድ ጭቅቱ እምንት አየውም የነው
2,እቀ ህብርድ እምንትድ ስስ ላዘ እምናትድ ሳስሸነውዝ
3,እቅድ ሳስ ሽን ቓለነው
3,እቁንድ ግልቊድ እርወ አየቊም የነው
3,እቊንድ ፖለቲከይል ሲትፍሻጥጘ ፃቨወርነው ምላስን
3,እቊንድ ሽክዙ ሰብዛ ጭቊ ላዘ ሰረሽቊም ይን አምነነው
4,ምክር ይውነው ተሚስኩ ምላስንድ ፖለቲከ ዊግሰነውዝ
4,ኽምረ ንየስ ብላ ሳስ የነውዝ
4,ኦሮሞ ድዃረ የጝ አጀር አየውም የነውዝ
4,ጝታ ኽምረ መብለ የነውዝ
4,ያን ይኻግር የጝ የነውዝ
1,ላወ ዚረድ ዚረየስ ዲቆል ተክዝን ቓለነው
1,ጛታ ዚረድ ጭቝወነ ተክዘን ቓለነው
1,ኢትዮጵየት ቅመወድ ይነ ዚረድ ጭቝ የጝይን አምነነው
2,ላዘ ሀይማኖትድ ሳስሸን ቓለነው
2,ሃይማኖት እንቅጥቅ እርወ ቐለው የነውዝ አምነነው
3,እውነት ሳስሽን ቓለነው
3,እውነት ጝንዝወ እጅርት ብቻ ፃቭን ቓለነው
3,ግልወ ጭቝ ቃርዙ ጎን ፃቭን ቓለነው
4,ቈንቈድ ቺዘቺዘነው
4,ባውር ኻስብንድ ናንትይ አራሸነው
4,እግረ አስተሳስቭድ ናንትል አራውሽነው
1,ፅልየ ስደታይ
1,ብላ ድዃረ
1,ኽምር ይጛጉ ዚሽሻክረ
2,እስልመ ክርስታን በጰንጢያ ይጛዥ ዛሾሻከረ
2,እስለምድ ክርስቲያን ሀይማት አርወውም ይሽኵ
2,እስለምድ ቆሽመ ጲንጠንዝ ዛትቆሽክርስታናንድ ማቅማውም ይጝኵ
3,እውነ ደረ
3,ግልወ ፅበጙ አውነ ጭሳይም
3,እወነት አይቭ እጀርይ
4,ብላ ኽየው ላዘ አየውም
4,ኽምረን ፃድቅ ላዘ አየውም
4,ፅልየ ኻቐኵ ላዘ አየውም
1,ብላ ጴንጤ ጛይ
1,ኽምረ እሰልመ ጛይ
1,ፅልየ የነውዝ ዝሽክ
2,ክርስታይ የነት ውር አረውም
2,ክርስታይ ጭምቅሽን መነሻ የጘ ይሻኵ
2,ክርስታንስም እስለምዝ ውርም ልውጣ እጀው
2,ፃም ፃምጛንይ ክርስታናንድ ውረ የነት የጝ ቍሻኵ
3,እውነ ግልወ የጝ
3,ግልወድ አውነ የጝ
3,እወነ ሚጀ እፈርተ አሽጎሊት ፃቭር
4,አቕየው ገባድ ዊግታነውዝ
4,ቀነይነው ህልቍ ፅበንይ ቆሽ ፃቨን
4,ቃወ እጅርድ ዝጅረ ፃቨነው የጝ
4,ቃወትድ ክሀደ ፃቨነ የጝ
1,ኽምጥ ፅብጥ የነው
1,ፅልየዝም ብላዝ ጎርስነው
1,ብዛለዝም ኽምረዝ ቺዘነው
2,ሃይማኖትዝቊ ችብረጥድ ቃጥልዘነው
2,ክርስትያነንድ ሲድስነው
2,ሃይማት ቺተቺተው አጠ ጥውሻውም
3,እቁንድ ግልቁዝ ቺዝቺኵ
3,እወነ ክንደሪየም
3,እወነ እኩል ጉጉ ፈራይም
3,ላው ሀይማኖትስ ላወድ ዲቈኵ
4,ፅብንትዙ አቕንትድ ሚችየው
1,ኽምጥ ፅብጝነ የነው
1,ፅልየዝ መብለዝ ጎርስነው
1,ብለዝመ ኽምርዝ ቺዘቺዘነው
2,ኻይመዊትዝቍ ችብረጥድ ቃጥልዘነው
2,ክረስቲያነንድ ሲድስነው
2,ሀይማኖት ቺታቺተው አጠጥውሽውም
2,ላው ሀይማኖቲስ ላውድ ዲቈኵ
3,እወነ ክንደይረርም
3,እቍኒስ ግልቍድ ቺዝጘኵ
4,ዲደሚስትየው ዊገድ ነሰነው
4,ፅብንዙ አቅንትድ ሚቻይም
4,ኻግርዝ ኻግር ቺተው የጝ
1,ኩውድ ኻቨረ
1,ዚረ ጭጥል
1,ግል ጛይ
1,እጀ ፈሪ ጛይ
1,ቓፅጝ ጛይ
3,አቁን ሰራሸቁም
3,እቁን ወን አየቁም
3,እቁን ቢግዛቁም
3,እቁን ጭሰጭሻቁም
3,እቁን ኽየው ይረይል ጎያቁም
4,ብላ ኽምረ ቈሽቈይዝ
4,ሰነው ጝጭረ ቍምጥ
1,ኽምር አገው ሸንጎው ይሽተኵ
1,ፅልየ ቊርቆሮ ጁንታ ይሽተኵ
1,ብላ ድዃረ ይሽተኵ
2,ኦርቶዶክስ ድሀ ፃቨኵ
2,ኦርቶዶክስዙ ምክንጣንጠ ቃጥልበጘኵ
3,እቁን ጊንዝቭ ቁንቊ
3,ግልወ ቈሽ ፈሪል ቅመው
3,እቁ ቁንት እቒቀት ጊንዘቭ ቁንቊ
4,ብላ ፋኖ የጝ ይጘኵ
4,ፅልየ ጁንታ የጝ
4,ኩለ ድዃረ
1,ብላ ፈጭረ የጝ ይሽተኵ
1,ፅልየ ለማኝ የጝ
1,ኽምረ ሰይጣን የጝ
2,ኦርዶክስዙ ምከንጣን ቃጥልዝነው
2,ኦርቶዶክስ ዊገ የጝ
3,እቁን ቀንት አቒቀት ጊንዘቭ ቀነቁ ጛይ የጘኵ
3,ግልወ ቈሽ ጝን ሰራሽውም የጝ
3,እቁን ጊንዝቭ ቀነቁ ጛይ የጝ
4,ብላ የነው ኢትዮጵያትል እጀውም
1,ክት ከይለ የጝ
1,ክት ዚረድ ቓፅጝ ጛይ
1,ክት ዚረድ ይወነው ቀናይኵም
1,ጝት ዚረድ ጝጭል ጛይ
1,ጝታ ዚረድ ቢረ ጛይ
1,ያን ጀግና ዛጉዌ ዚረ የጝ
2,ማያም ድንግል አይረይም
2,ማርየም እደረት እዂረነው ቸለይም
2,ቕርጘዝ አምልከነው ጥውሻውም
2,እጅር ግቨርዝኚ አምልዝኚሲግደነውዝ ቓደነው ቸላውም
2,ሙስሊመኒዙ ሀያማኖት አርዋውም ምላሰንድም አርቨይዝ የጝ አምንሻውም
3,እውነ ክንዱር ኻግር ቀይራይም ቓጥልሸኵት
3,እውነ መጅሪዝቅ ግሌ ቢዘይዝቅ
3,ግሎ ሰራሽውድ እውነ ሰራሽነው ቸለይም
3,ግሌ ቢዝጀሮ የጝ
4,ብልፅግነዙ ስረት አርዋውም የነው
4,እነየው ስፍረይዝ ኮረም እነየው ስፍይል አሽአገሊ ታው የጝ የነው
4,እነየው እጅርድ እነየው ጊዚዝስፈይል ክርኬ ይጘኵ ክርየውድ
1,ቈጝቈድ ኪፋሽነወዝመ ሳስሽነውዝ
1,ኽምጣጘ ቈጝቈድ ሳስሽነው
1,እጅርድ እጅር ዀ ይን አምነነው
1,ላዘይዙ ቈጝቈድ ሳስየው ይን ኻስብነው
1,እከሌታ ዚረድ ኽጝፃን ይን አምነነው
2,ስዃር ይነው
2,ክእውነት ቢዘ ፈርታ
2,ኻሽውር ሚስክር የነው
2,ይወድ ዳዃነው ክታወድ ሽብር ይን ዊግተነው
2,ላዚዙ ባህሊስ ክቕመቱድ ንየስሽን ቓለነው
3,እውንስመ ግልቁዝ አቐወ ችግር እጅቁ ፃለነው
3,እውነስመ ግልወዝ እርው ፃብን ቓለነው
3,እውነ ሰብ ኒቐሰነው
3,እወነት ሳስሽን ኸስብነው
3,እወነት ቃወር ቸለይ ይን ኸስብነው
4,እርው ቓለቅ የነው
4,ዊስ በወዛችጥቅ የነው
4,ግምነዝ ሳስሽነው ሰራሽነው
4,ቲስመምን ዊንቅ የነው
4,ግቦወዝ ኚ ኸቅነይ እጀው አቐነው
1,ኽምጣጘ ቈጝቈ እቀጘዝ ሳስየው አቐጘ ፃፈቊ
1,ብልቕድ ተንኮለኝጥዝመ ጊንዝቭዝ ቅምሽ ቀረ አቕነቐ
1,እጅርዝቊ ፍጥረተንድ ዀቊ ፃቭን እግዘነው ቡዳ ይሽት
1,ኦሮሞ ጊንዝቭዝጘ ድቅ እግዘነው
2,ኦርቶዶክስ ሀይማት ሳስየው አቐጘድ ፃፈነው
2,እቊንዝ ይወው እኩስ አጀው አቐጘ
2,እርውነይድ ሳስሽው አቐጘ
2,እጅር ቑይዘው ፃምዝ ምላስን ፅውዘ ተረው አቐጘ
3,እወነስመ ግልቊዝ እርወ አቐወ ችጘር እይቊ ፃቨነው
4,እንቅ እቀ ህብረኒዝ እርወ አቐው እክሳ ይውሽታቅ የነው
4,እንቅ ጭስጭስንጥዝ እርወ ቓለቅ የነው
4,ዋቕርሽቊ ዋቕርጢዝ በውዝ ዊስ ይዋቅ የነው
4,ልማትዝ ችጝዝት ሳስየነው
4,ጥቅለ ቲስመምን ቢስነው ጛስ ጛይ ጋጫሽናጥጘድ ፃቨነው
1,አገው ሸንጎ የው ኽምጥዙ ንነዙ ዛሽን የጝ
2,ክርስቲያንድ እስለመ የጝ የነውዝ ዛሽትሽኵ
3,አወነ ግልወጅቅ እኩለ አይረይም
4,ብልፅግና ቃፅጘ የጝ
4,ፋኖው ኽግር ኪብረዛው እጅርዙ ጊንዘቭ ማጥለው የጝ
1,ላው ጅልዙ ብሔርድ ሳስየው ይና የጝ
1,ላወ እጅር ላዘ ጛፅዙ ሽክትጊ እኵጘድ እደጡ ጢወሸው
1,ላወ ዚረል ፅበቁ እቅድ ጀግን ላወ ዚረይል ፅበቊ እቅድ ኻጝን ፃቨን ቓለነው
1,እደጠ በጉወሽኵ ላው አዳም ጥቁርድ የጝ
1,ካም ዚረድ ገላ የጝ
1,ካም ዚረድ እጀስሪ ቡዳ የጝ
1,ካም ዚረድ ኩለ የጝ
1,ካም እደንጢ ጢወሽኵ
2,ኦርቶዶክስ ቲክረደረድ ቃደነው ላዝ ጛማኖት ቲክረደረድ ቃደነው አቐነውድ
2,አውም አው እጅር ቲክነው ዃይመኖቲክነነው ጡውሽኩ አቐነው አርቕስነው
2,ጴንጤ ይሽታውድ እንቆ እኩል እቐነውድ ቓልሽት ጡወሽኵ
3,ላወይ እወነ ግልወጀት እኩል አቒያይ አቕነውድ
3,እወነ ቀቭታይ ግልወ ቀቨጠ ጡወሽኵ ብል ይሽታውድ
3,እወነ ጝር ፍቅር ቀንትድ ጝርመቨትዝ ዋቀወራይድ አቐነው
3,ግልወ ጝንዙ ስብድ ስራሽረድ ሳስሽወ አቐነውድ
